SLUG,SYMBOL,NAME
 bitcoin,BTC, Bitcoin
 ethereum,ETH, Ethereum
 tether,USDT, Tether
 inr,INR, Indian Rupee
 kwd,KWD,KWD
 usd-coin,USDC, USD Coin
 bnb,BNB, BNB
 binance-usd,BUSD, Binance USD
 cardano,ADA, Cardano
 xrp,XRP, XRP
 solana,SOL, Solana
 polkadot-new,DOT, Polkadot
 dogecoin,DOGE, Dogecoin
 multi-collateral-dai,DAI, Dai
 wrapped-bitcoin,WBTC, Wrapped Bitcoin
 tron,TRX, TRON
 unus-sed-leo,LEO, UNUS SED LEO
 avalanche,AVAX, Avalanche
 shiba-inu,SHIB, Shiba Inu
 litecoin,LTC, Litecoin
 ftx-token,FTT, FTX Token
 polygon,MATIC, Polygon
 chainlink,LINK, Chainlink
 cronos,CRO, Cronos
 stellar,XLM, Stellar
"uniswap,","UNI,","Uniswap,"
 near-protocol,NEAR, NEAR Protocol
 bitcoin-cash,BCH, Bitcoin Cash
 algorand,ALGO, Algorand
 monero,XMR, Monero
 cosmos,ATOM, Cosmos
 ethereum-classic,ETC, Ethereum Classic
 vechain,VET, VeChain
 flow,FLOW, Flow
 decentraland,MANA, Decentraland
 hedera,HBAR, Hedera
 internet-computer,ICP, Internet Computer
 tezos,XTZ, Tezos
 trueusd,TUSD, TrueUSD
 filecoin,FIL, Filecoin
 helium,HNT, Helium
 kucoin-token,KCS, KuCoin Token
 theta-network,THETA, Theta Network
 the-sandbox,SAND, The Sandbox
 bitcoin-sv,BSV, Bitcoin SV
 elrond-egld,EGLD, Elrond
 apecoin-ape,APE, ApeCoin
 paxos-standard,USDP, Pax Dollar
 zcash,ZEC, Zcash
 eos,EOS, EOS
 axie-infinity,AXS, Axie Infinity
 huobi-token,HT, Huobi Token
 aave,AAVE, Aave
 neutrino-usd,USDN, Neutrino USD
 bittorrent-new,BTT, BitTorrent-New
 maker,MKR, Maker
 iota,MIOTA, IOTA
 usdd,USDD, USDD
 ecash,XEC, eCash
 klaytn,KLAY, Klaytn
 the-graph,GRT, The Graph
 okb,OKB, OKB
 neo,NEO, Neo
 pax-gold,PAXG, PAX Gold
 thorchain,RUNE, THORChain
 quant,QNT, Quant
 fantom,FTM, Fantom
 chiliz,CHZ, Chiliz
 loopring,LRC, Loopring
 waves,WAVES, Waves
 basic-attention-token,BAT, Basic Attention Token
 dash,DASH, Dash
 pancakeswap,CAKE, PancakeSwap
 stacks,STX, Stacks
 kusama,KSM, Kusama
 fei-usd,FEI, Fei USD
 zilliqa,ZIL, Zilliqa
 gemini-dollar,GUSD, Gemini Dollar
 gala,GALA, Gala
 nexo,NEXO, Nexo
 amp,AMP, Amp
 enjin-coin,ENJ, Enjin Coin
 celo,CELO, Celo
 green-metaverse-token,GMT, STEPN
 xinfin,XDC, XDC Network
 holo,HOT, Holo
 nem,XEM, NEM
 mina,MINA, Mina
 decred,DCR, Decred
 kava,KAVA, Kava
 curve-dao-token,CRV, Curve DAO Token
 gatetoken,GT, GateToken
 harmony,ONE, Harmony
 1inch,1INCH, 1inch Network
 gnosis-gno,GNO, Gnosis
 kadena,KDA, Kadena
 qtum,QTUM, Qtum
 arweave,AR, Arweave
 symbol,XYM, Symbol
 bitcoin-gold,BTG, Bitcoin Gold
 omg,OMG, OMG Network
 kyber-network-crystal-v2,KNC, Kyber Network Crystal v2
 moonbeam,GLMR, Moonbeam
 iotex,IOTX, IoTeX
 iostoken,IOST, IOST
 oasis-network,ROSE, Oasis Network
 bora,BORA, BORA
 serum,SRM, Serum
 icon,ICX, ICON
 convex-finance,CVX, Convex Finance
 compound,COMP, Compound
 theta-fuel,TFUEL, Theta Fuel
 audius,AUDIO, Audius
 ankr,ANKR, Ankr
 0x,ZRX, 0x
 skale-network,SKL, SKALE Network
 synthetix-network-token,SNX, Synthetix
 uma,UMA, UMA
 ravencoin,RVN, Ravencoin
 golem-network-tokens,GLM, Golem
 just,JST, JUST
 ontology,ONT, Ontology
 livepeer,LPT, Livepeer
 swissborg,CHSB, SwissBorg
 balancer,BAL, Balancer
 bancor,BNT, Bancor
 siacoin,SC, Siacoin
 trust-wallet-token,TWT, Trust Wallet Token
 horizen,ZEN, Horizen
 voyager-token,VGX, Voyager Token
 wax,WAXP, WAX
 yearn-finance,YFI, yearn.finance
 mxc,MXC, Meta X Connect
 ethereum-name-service,ENS, Ethereum Name Service
 sxp,SXP, SXP
 lido-dao,LDO, Lido DAO
 braintrust,BTRST, Braintrust
 immutable-x,IMX, Immutable X
 secret,SCRT, Secret
 celsius,CEL, Celsius
 apenft,NFT, APENFT
 renbtc,RENBTC, renBTC
 hive-blockchain,HIVE, Hive
 polymath-network,POLY, Polymath
 dogelon,ELON, Dogelon Mars
 wootrade,WOO, WOO Network
 digibyte,DGB, DigiByte
 storj,STORJ, Storj
 casper,CSPR, Casper
 ellipsis,EPS, Ellipsis
 playdapp,PLA, PlayDapp
 keep-network,KEEP, Keep Network
 mx-token,MX, MX TOKEN
 sushiswap,SUSHI, SushiSwap
 constitutiondao,PEOPLE, ConstitutionDAO
 lisk,LSK, Lisk
 acala,ACA, Acala Token
 ocean-protocol,OCEAN, Ocean Protocol
 chia-network,XCH, Chia
 nano,XNO, Nano
 orbs,ORBS, Orbs
 nervos-network,CKB, Nervos Network
 illuvium,ILV, Illuvium
 nucypher,NU, NuCypher
 wirex-token,WXT, Wirex Token
 conflux-network,CFX, Conflux
 zel,FLUX, Flux
 wink,WIN, WINkLink
 velas,VLX, Velas
 rally,RLY, Rally
 dao-maker,DAO, DAO Maker
 rari-governance-token,RGT, Rari Governance Token
 ceek-vr,CEEK, CEEK VR
 medibloc,MED, MediBloc
 ontology-gas,ONG, Ontology Gas
 persistence,XPRT, Persistence
 digitalbits,XDB, DigitalBits
 coti,COTI, COTI
 reserve-rights,RSR, Reserve Rights
 ren,REN, Ren
 chromia,CHR, Chromia
 render-token,RNDR, Render Token
 power-ledger,POWR, Powerledger
 status,SNT, Status
 celer-network,CELR, Celer Network
 telcoin,TEL, Telcoin
 cartesi,CTSI, Cartesi
 metal,MTL, Metal
 coin98,C98, Coin98
 funtoken,FUN, FUNToken
 syscoin,SYS, Syscoin
 pundix-new,PUNDIX, Pundi X (New)
 bitmax-token,ASD, ASD
 ardor,ARDR, Ardor
 dent,DENT, Dent
 vulcan-forged-pyr,PYR, Vulcan Forged PYR
 request,REQ, Request
 origin-protocol,OGN, Origin Protocol
 xyo,XYO, XYO
 tribe,TRIBE, Tribe
 susd,SUSD, sUSD
 civic,CVC, Civic
 hex,HEX, HEX
 wrapped-tron,WTRX, Wrapped TRON
 youcash,YOUC, yOUcash
 steth,stETH, Lido Staked ETH
 bitcoin-bep2,BTCB, Bitcoin BEP2
 chain,XCN, Chain
 frax,FRAX, Frax
 toncoin,TON, Toncoin
 wbnb,WBNB, Wrapped BNB
 bittorrent,BTTOLD, BitTorrent
 huobi-btc,HBTC, Huobi BTC
 liquity-usd,LUSD, Liquity USD
 defichain,DFI, DeFiChain
 tether-gold,XAUT, Tether Gold
 fruits-eco,FRTS, Fruits
 safe,SAFE, Safe
 terra-luna,LUNC, Terra Classic
 counos-x,CCXX, Counos X
 wemix,WEMIX, WEMIX
 the-transfer-token,TTT, The Transfer Token
 terra-luna-v2,LUNA, Terra
 husd,HUSD, HUSD
 threshold,T, Threshold
 binaryx,BNX, BinaryX
 bitdao,BIT, BitDAO
 nxm,NXM, NXM
 osmosis,OSMO, Osmosis
 link,LN, LINK
 everscale,EVER, Everscale
 astar,ASTR, Astar
 chainbing,CBG, Chainbing
 titanswap,TITAN, TitanSwap
 bitpanda-ecosystem-token,BEST, Bitpanda Ecosystem Token
 humanscape,HUM, Humanscape
 stasis-euro,EURS, STASIS EURO
 platoncoin,PLTC, PlatonCoin
 wrapped-velas,WVLX, Wrapped Velas
 mrweb-finance,AMA, Mrweb Finance
 keystone-of-opportunity-knowledge,KOK, KOK
 xsgd,XSGD, XSGD
 1eco,1ECO, 1eco
 avinoc,AVINOC, AVINOC
 radio-caca,RACA, RadioCaca
 venus-usdc,vUSDC, Venus USDC
 vvs-finance,VVS, VVS Finance
 metacraft,MCT, Metacraft
 project-galaxy,GAL, Project Galaxy
 mvl,MVL, MVL
 usdx-kava,USDX, USDX [Kava]
 nest-protocol,NEST, NEST Protocol
 xcad-network,XCAD, XCAD Network
 hxro,HXRO, Hxro
 rocket-pool,RPL, Rocket Pool
 looksrare,LOOKS, LooksRare
 deapcoin,DEP, DEAPcoin
 insure,SURE, inSure DeFi
 sologenic,SOLO, Sologenic
 injective-protocol,INJ, Injective
 mobilecoin,MOB, MobileCoin
 pirate-chain,ARRR, Pirate Chain
 maple,MPL, Maple
 raydium,RAY, Raydium
 locus-chain,LOCUS, Locus Chain
 terrausd,USTC, TerraClassicUSD
 spell-token,SPELL, Spell Token
 abbc-coin,ABBC, ABBC Coin
 biswap,BSW, Biswap
 deso,DESO, Decentralized Social
 dydx,DYDX, dYdX
 constellation,DAG, Constellation
 zeon,ZEON, ZEON
 energy-web-token,EWT, Energy Web Token
 steem,STEEM, Steem
 mdex,MDX, Mdex
 revain,REV, Revain
 biconomy,BICO, Biconomy
 aelf,ELF, aelf
 frax-share,FXS, Frax Share
 fetch,FET, Fetch.ai
 divi,DIVI, Divi
 metisdao,METIS, MetisDAO
 augur,REP, Augur
 wazirx,WRX, WazirX
 ultra,UOS, Ultra
 creditcoin,CTC, Creditcoin
 hoo-token,HOO, Hoo Token
 vethor-token,VTHO, VeThor Token
 liquity,LQTY, Liquity
 maidsafecoin,MAID, MaidSafeCoin
 sun-token,SUN, Sun (New)
 orchid,OXT, Orchid
 aavegotchi,GHST, Aavegotchi
 rsk-smart-bitcoin,RBTC, RSK Smart Bitcoin
 btc-standard-hashrate-token,BTCST, Bitcoin Standard Hashrate Token
 moonriver,MOVR, Moonriver
 origin-dollar,OUSD, Origin Dollar
 function-x,FX, Function X
 hedgetrade,HEDG, HedgeTrade
 propy,PRO, Propy
 reef,REEF, Reef
 certik,CTK, Shentu
 mines-of-dalarnia,DAR, Mines of Dalarnia
 anyswap,ANY, Anyswap
 glitzkoin,GTN, GlitzKoin
 ergo,ERG, Ergo
 myneighboralice,ALICE, MyNeighborAlice
 alien-worlds,TLM, Alien Worlds
 celo-dollar,CUSD, Celo Dollar
 stormx,STMX, StormX
 world-mobile-token,WMT, World Mobile Token
 hi-dollar,HI, HI
 cvault-finance,CORE, cVault.finance
 venus-busd,vBUSD, Venus BUSD
 origintrail,TRAC, OriginTrail
 lukso,LYXe, LUKSO
 centrifuge,CFG, Centrifuge
 aragon,ANT, Aragon
 bridge-oracle,BRG, Bridge Oracle
 standard-tokenization-protocol,STPT, Standard Tokenization Protocol
 uquid-coin,UQC, Uquid Coin
 stratis,STRAX, Stratis
 dawn-protocol,DAWN, Dawn Protocol
 vai,VAI, Vai
 darma-cash,DMCH, Darma Cash
 aleph-im,ALEPH, Aleph.im
 quarkchain,QKC, QuarkChain
 alchemy-pay,ACH, Alchemy Pay
 utrust,UTK, Utrust
 rlc,RLC, iExec RLC
 superfarm,SUPER, SuperFarm
 joe,JOE, JOE
 rsk-infrastructure-framework,RIF, RSK Infrastructure Framework
 adshares,ADS, Adshares
 metadium,META, Metadium
 h2o-dao,H2O, H2O DAO
 telos,TLOS, Telos
 strike,STRK, Strike
 freeway-token,FWT, Freeway Token
 somesing,SSX, SOMESING
 verge,XVG, Verge
 prometeus,PROM, Prometeus
 rakon,RKN, Rakon
 dusk-network,DUSK, Dusk Network
 ark,ARK, Ark
 band-protocol,BAND, Band Protocol
 venus,XVS, Venus
 bifrost,BFC, Bifrost (BFC)
 ssv-network,SSV, ssv.network
 onus,ONUS, ONUS
 radicle,RAD, Radicle
 gensokishis-metaverse,MV, GensoKishi Metaverse
 orbit-chain,ORC, Orbit Chain
 numeraire,NMR, Numeraire
 alpha-finance-lab,ALPHA, Alpha Venture DAO
 aurora-near,AURORA, Aurora
 nkn,NKN, NKN
 zb-token,ZB, ZB Token
 api3,API3, API3
 electroneum,ETN, Electroneum
 perpetual-protocol,PERP, Perpetual Protocol
 singularitynet,AGIX, SingularityNET
 efforce,WOZX, Efforce
 whitecoin,XWC, WhiteCoin
 veritaseum,VERI, Veritaseum
 axel,AXEL, AXEL
 mobox,MBOX, MOBOX
 boba-network,BOBA, Boba Network
 enzyme,MLN, Enzyme
 qcash,QC, Qcash
 beta-finance,BETA, Beta Finance
 cocos-bcx,COCOS, Cocos-BCX
 kardiachain,KAI, KardiaChain
 sport-and-leisure,SNL, Sport and Leisure
 dero,DERO, Dero
 jasmy,JASMY, JasmyCoin
 ampleforth,AMPL, Ampleforth
 yield-guild-games,YGG, Yield Guild Games
 radix,EXRD, e-Radix
 loom-network,LOOM, Loom Network
 bakerytoken,BAKE, BakeryToken
 fleta,FLETA, FLETA
 lcx,LCX, LCX
 dkargo,DKA, dKargo
 metahero,HERO, Metahero
 xenioscoin,XNC, XeniosCoin
 ampleforth-governance-token,FORTH, Ampleforth Governance Token
 bella-protocol,BEL, Bella Protocol
 orion-protocol,ORN, Orion Protocol
 everipedia,IQ, Everipedia
 mstable-usd,MUSD, mStable USD
 mango-markets,MNGO, Mango
 sperax,SPA, Sperax
 thundercore,TT, ThunderCore
 platon,LAT, PlatON
 badger-dao,BADGER, Badger DAO
 polkastarter,POLS, Polkastarter
 safemoon,SAFEMOON, SafeMoon
 splintershards,SPS, Splintershards
 mask-network,MASK, Mask Network
 deeper-network,DPR, Deeper Network
 contracoin,CTCN, CONTRACOIN
 klever,KLV, Klever
 marlin,POND, Marlin
 anchor-protocol,ANC, Anchor Protocol
 tomochain,TOMO, TomoChain
 proton,XPR, Proton
 hunt,HUNT, HUNT
 neutrino-system-base-token,NSBT, Neutrino Token
 genopets,GENE, Genopets
 aergo,AERGO, Aergo
 deversifi,DVF, DeversiFi
 rizon-blockchain,ATOLO, RIZON
 conun,CON, CONUN
 idex,IDEX, IDEX
 moviebloc,MBL, MovieBloc
 nestree,EGG, Nestree
 arpa-chain,ARPA, ARPA Chain
 bitmart-token,BMX, BitMart Token
 flamingo,FLM, Flamingo
 defi-pulse-index,DPI, DeFi Pulse Index
 super-zero-protocol,SERO, Super Zero Protocol
 cratos,CRTS, Cratos
 xdai,STAKE, STAKE
 coinloan,CLT, CoinLoan
 clover,CLV, CLV
 automata-network,ATA, Automata Network
 carry,CRE, Carry
 venus-usdt,vUSDT, Venus USDT
 mainframe,MFT, Hifi Finance
 chimpion,BNANA, Chimpion
 monacoin,MONA, MonaCoin
 syntropy,NOIA, Syntropy
 bluzelle,BLZ, Bluzelle
 truefi-token,TRU, TrueFi
 lto-network,LTO, LTO Network
 safepal,SFP, SafePal
 star-link,STARL, Starlink
 wanchain,WAN, Wanchain
 yooshi,YOOSHI, YooShi
 gomining-token,GMT, GMT Token
 hathor,HTR, Hathor
 aeternity,AE, Aeternity
 hyperion,HYN, Hyperion
 victoria-vr,VR, Victoria VR
 merit-circle,MC, Merit Circle
 linear,LINA, Linear Finance
 ribbon-finance,RBN, Ribbon Finance
 centrality,CENNZ, CENNZnet
 gxchain,GXC, GXChain
 litentry,LIT, Litentry
 gitcoin,GTC, Gitcoin
 aioz-network,AIOZ, AIOZ Network
 akash-network,AKT, Akash Network
 opendao,SOS, OpenDAO
 rmrk,RMRK, RMRK
 hydra,HYDRA, Hydra
 cudos,CUDOS, CUDOS
 velo,VELO, Velo
 ankreth,aETHc, Ankr Reward Bearing Staked ETH
 unibright,UBT, Unibright
 elastos,ELA, Elastos
 troy,TROY, TROY
 reserve,RSV, Reserve
 alpha-quark-token,AQT, Alpha Quark Token
 qredo,QRDO, Qredo
 dia,DIA, DIA
 alpaca-finance,ALPACA, Alpaca Finance
 energi,NRG, Energi
 alpine-f1-team-fan-token,ALPINE, Alpine F1 Team Fan Token
 usdk,USDK, USDK
 phala-network,PHA, Phala Network
 polyswarm,NCT, PolySwarm
 bloktopia,BLOK, Bloktopia
 bitcoin-diamond,BCD, Bitcoin Diamond
 milk-alliance,MLK, MiL.k
 beefy-finance,BIFI, Beefy Finance
 steem-dollars,SBD, Steem Dollars
 tokenlon-network-token,LON, Tokenlon Network Token
 rei-network,REI, REI Network
 dvision-network,DVI, Dvision Network
 moss-coin,MOC, Moss Coin
 alitas,ALT, Alitas
 fox-token,FOX, Shapeshift FOX Token
 kava-swap,SWP, Kava Swap
 woodcoin,LOG, Woodcoin
 hopr,HOPR, HOPR
 bloomzed-token,BLCT, Bloomzed Loyalty Club Ticket
 tokocrypto,TKO, Toko Token
 green-satoshi-token,GST, Green Satoshi Token (SOL)
 mimblewimblecoin,MWC, MimbleWimbleCoin
 presearch,PRE, Presearch
 covalent,CQT, Covalent
 travala,AVA, Travala.com
 elitium,EUM, Elitium
 ethereum-swarm,BZZ, Swarm
 bzx-protocol,BZRX, bZx Protocol
 bitshares,BTS, BitShares
 cobak-token,CBK, Cobak Token
 veruscoin,VRSC, VerusCoin
 phantasma,SOUL, Phantasma
 zimbocash,ZASH, ZIMBOCASH
 alethea-artificial-liquid-intelligence-token,ALI, Alethea Artificial Liquid Intelligence Token
 refereum,RFR, Refereum
 alchemix,ALCX, Alchemix
 sentinel-protocol,UPP, Sentinel Protocol
 unifi-protocol-dao,UNFI, Unifi Protocol DAO
 voxies,VOXEL, Voxies
 terra-virtua-kolect,TVK, Terra Virtua Kolect
 verasity,VRA, Verasity
 seedify-fund,SFUND, Seedify.fund
 dad,DAD, DAD
 groestlcoin,GRS, Groestlcoin
 fio-protocol,FIO, FIO Protocol
 efinity,EFI, Efinity Token
 contentos,COS, Contentos
 FirmaChain,FCT,FCT2
 boson-protocol,BOSON, Boson Protocol
 drep-new,DREP, Drep [new]
 gas,GAS, Gas
 ichi,ICHI, ICHI
 derivadao,DDX, DerivaDAO
 ufo-gaming,UFO, UFO Gaming
 komodo,KMD, Komodo
 shiba-predator,QOM, Shiba Predator
 tokenpocket,TPT, TokenPocket
 assemble-protocol,ASM, Assemble Protocol
 misbloc,MSB, Misbloc
 meverse,MEV, MEVerse
 hard-protocol,HARD, Kava Lend
 unifty,NIF, Unifty
 peakdefi,PEAK, PEAKDEFI
 akropolis,AKRO, Akropolis
 kin,KIN, Kin
 tranchess,CHESS, Tranchess
 richquack-com,QUACK, RichQUACK.com
 aurory,AURY, Aurory
 circuits-of-value,COVAL, Circuits of Value
 handshake,HNS, Handshake
 coinex-token,CET, CoinEx Token
 vegaprotocol,VEGA, Vega Protocol
 everrise,RISE, EverRise
 adx-net,ADX, Ambire AdEx
 student-coin,STC, Student Coin
 rss3,RSS3, RSS3
 irisnet,IRIS, IRISnet
 newyork-exchange,NYE, NewYork Exchange
 district0x,DNT, district0x
 kiltprotocol,KILT, KILT Protocol
 trustswap,SWAP, TrustSwap
 babyswap,BABY, BabySwap
 singularitydao,SDAO, SingularityDAO
 gyen,GYEN, GYEN
 amo-coin,AMO, AMO Coin
 terra-krw,KRT, TerraKRW
 ethernity-chain,ERN, Ethernity
 rchain,REV, RChain
 dxdao,DXD, DXdao
 decentral-games,DG, Decentral Games
 somnium-space-cubes,CUBE, Somnium Space Cubes
 stafi,FIS, StaFi
 smooth-love-potion,SLP, Smooth Love Potion
 tellor,TRB, Tellor
 streamr,DATA, Streamr
 btse,BTSE, BTSE
 apollox,APX, ApolloX
 vectorspace-ai,VXV, Vectorspace AI
 adventure-gold,AGLD, Adventure Gold
 cortex,CTXC, Cortex
 spookyswap,BOO, SpookySwap
 latoken,LA, LATOKEN
 paris-saint-germain-fan-token,PSG, Paris Saint-Germain Fan Token
 harvest-finance,FARM, Harvest Finance
 yield-app,YLD, YIELD App
 keep3rv1,KP3R, Keep3rV1
 barnbridge,BOND, BarnBridge
 lazio-fan-token,LAZIO, S.S. Lazio Fan Token
 torn,TORN, Tornado Cash
 cryptex-finance,CTX, Cryptex Finance
 parsiq,PRQ, PARSIQ
 kleros,PNK, Kleros
 venus-xvs,vXVS, Venus XVS
 namecoin,NMC, Namecoin
 firo,FIRO, Firo
 rai,RAI, Rai Reflex Index
 valobit,VBIT, Valobit
 mantra-dao,OM, MANTRA DAO
 time-new-bank,TNB, Time New Bank
 selfkey,KEY, SelfKey
 ultiledger,ULT, Ultiledger
 rarible,RARI, Rarible
 reapchain,REAP, ReapChain
 mixmarvel,MIX, MixMarvel
 fusion,FSN, Fusion
 tifi-token,TIFI, TiFi Token
 sovryn,SOV, Sovryn
 wilder-world,WILD, Wilder World
 oxen,OXEN, Oxen
 superrare,RARE, SuperRare
 maro,MARO, Maro
 permission-coin,ASK, Permission Coin
 derace,DERC, DeRace
 nuls,NULS, NULS
 hermez-network,HEZ, Hermez Network
 redfox-labs,RFOX, RFOX
 frontier,FRONT, Frontier
 bscpad,BSCPAD, BSCPAD
 measurable-data-token,MDT, Measurable Data Token
 santos-fc-fan-token,SANTOS, Santos FC Fan Token
 six,SIX, SIX
 boringdao,BOR, BoringDAO
 wrapped-nxm,WNXM, Wrapped NXM
 digixdao,DGD, DigixDAO
 qash,QASH, QASH
 biopassport-token,BIOT, BioPassport Token
 solend,SLND, Solend
 league-of-kingdoms,LOKA, League of Kingdoms Arena
 ahatoken,AHT, AhaToken
 rai-finance-sofi,SOFI, RAI Finance
 revolution-populi,RVP, Revolution Populi
 bytom,BTM, Bytom
 ramp,RAMP, RAMP
 binance-idr,BIDR, BIDR
 morpheus-network,MNW, Morpheus.Network
 fc-barcelona-fan-token,BAR, FC Barcelona Fan Token
 dxchain-token,DX, DxChain Token
 x-world-games,XWG, X World Games
 marinade,MSOL, Marinade Staked SOL
 math,MATH, MATH
 quantstamp,QSP, Quantstamp
 usdj,USDJ, USDJ
 burger-cities,BURGER, BurgerCities
 chrono-tech,TIME, Chrono.tech
 manchester-city-fan-token,CITY, Manchester City Fan Token
 rupiah-token,IDRT, Rupiah Token
 highstreet,HIGH, Highstreet
 haven-protocol,XHV, Haven Protocol
 map-protocol,MAP, MAP Protocol
 cargox,CXO, CargoX
 dexe,DEXE, DeXe
 quickswap,QUICK, QuickSwap
 dodo,DODO, DODO
 bonfida,FIDA, Bonfida
 samoyedcoin,SAMO, Samoyedcoin
 nft-worlds,WRLD, NFT Worlds
 yearn-finance-ii,YFII, DFI.Money
 dforce,DF, dForce
 wing,WING, Wing Finance
 mithril,MITH, Mithril
 fc-porto,PORTO, FC Porto Fan Token
 mirror-protocol,MIR, Mirror Protocol
 ooki-protocol,OOKI, Ooki Protocol
 taboo-token,TABOO, TABOO TOKEN
 pkt,PKT, PKT
 waltonchain,WTC, Waltonchain
 keeperdao,ROOK, KeeperDAO
 animalgo,GOM2, AnimalGo
 beam,BEAM, Beam
 zenon,ZNN, Zenon
 kryll,KRL, Kryll
 pluton,PLU, Pluton
 star-atlas,ATLAS, Star Atlas
 metronome,MET, Metronome
 karura,KAR, Karura
 dock,DOCK, Dock
 aion,AION, Aion
 adappter-token,ADP, Adappter Token
 edgeware,EDG, Edgeware
 waykichain,WICC, WaykiChain
 bux-token,BUX, BUX Token
 wrapped-ncg,WNCG, Wrapped NCG (Nine Chronicles Gold)
 bosagora,BOA, BOSAGORA
 polkadex,PDEX, Polkadex
 allianceblock,ALBT, AllianceBlock
 vimworld,VEED, VIMworld
 lattice-token,LTX, Lattice Token
 zelwin,ZLW, Zelwin
 molecular-future,MOF, Molecular Future
 santiment,SAN, Santiment Network Token
 defigram,DFG, Defigram
 scprime,SCP, ScPrime
 e-money-coin,NGM, e-Money
 guildfi,GF, GuildFi
 quantum-resistant-ledger,QRL, Quantum Resistant Ledger
 gifto,GTO, Gifto
 position-exchange,POSI, Position Exchange
 router-protocol,ROUTE, Router Protocol
 gemma-extending-tech,GXT, Gem Exchange and Trading
 shping,SHPING, SHPING
 smartofgiving,AOG, smARTOFGIVING
 crpt,CRPT, Crypterium
 dego-finance,DEGO, Dego Finance
 mileverse,MVC, MileVerse
 shiden-network,SDN, Shiden Network
 epic-cash,EPIC, Epic Cash
 auto,AUTO, Auto
 stackos,STACK, StackOs
 grid,GRID, Grid+
 civilization,CIV, Civilization
 nftx,NFTX, NFTX
 whale,WHALE, WHALE
 apollo-currency,APL, Apollo Currency
 hyperdao,HDAO, HyperDAO
 bitforex-token,BF, BitForex Token
 solve,SOLVE, SOLVE
 cere-network,CERE, Cere Network
 thetan-arena,THG, Thetan Arena
 gamefi,GAFI, GameFi
 electric-vehicle-zone,EVZ, Electric Vehicle Zone
 saito,SAITO, Saito
 redd,RDD, ReddCoin
 senso,SENSO, SENSO
 vite,VITE, VITE
 degate,DG, DeGate
 basic,BASIC, BASIC
 impossible-decentralized-incubator-access,IDIA, Impossible Finance Launchpad
 dextools,DEXT, DEXTools
 bytecoin-bcn,BCN, Bytecoin
 gods-unchained,GODS, Gods Unchained
 anchor,ANCT, Anchor
 sentinel,DVPN, Sentinel
 elysia,EL, ELYSIA
 cream-finance,CREAM, Cream Finance
 bitkan,KAN, BitKan
 dora-factory,DORA, Dora Factory
 hoge-finance,HOGE, Hoge Finance
 ariva,ARV, Ariva
 zigcoin,ZIG, Zigcoin
 invictus-hyperion-fund,IHF, Invictus Hyperion Fund
 te-food,TONE, TE-FOOD
 pnetwork,PNT, pNetwork
 the-force-protocol,FOR, ForTube
 bounce-token,AUCTION, Bounce Finance Governance Token
 gochain,GO, GoChain
 king-dag,KDAG, King DAG
 suku,SUKU, Suku
 maps,MAPS, MAPS
 powerpool,CVP, PowerPool
 ternoa,CAPS, Ternoa
 asta,ASTA, ASTA
 numbers-protocol,NUM, Numbers Protocol
 aventus,AVT, Aventus
 onbuff,ONIT, ONBUFF
 get-protocol,GET, GET Protocol
 shiryo-inu,SHIRYO, Shiryo
 videocoin,VID, Vivid Labs
 bitrue-coin,BTR, Bitrue Coin
 newscrypto,NWC, Newscrypto
 obyte,GBYTE, Obyte
 peony,PNY, Peony
 ac-milan-fan-token,ACM, AC Milan Fan Token
 coinpoker,CHP, CoinPoker
 nimiq,NIM, Nimiq
 altura,ALU, Altura
 seele,SEELE, Seele-N
 visor-finance,VISR, Visor.Finance
 everest,ID, Everest
 goldfinch-protocol,GFI, Goldfinch
 quiztok,QTCON, Quiztok
 bepro-network,BEPRO, BEPRO Network
 soda-coin,SOC, Soda Coin
 movez,MOVEZ, MOVEZ
 huobi-pool-token,HPT, Huobi Pool Token
 nash,NEX, Nash
 era-token,ERA, Era Token (Era7)
 temco,TEMCO, TEMCO
 chainx,PCX, ChainX
 urus,URUS, Aurox
 apeswap-finance,BANANA, ApeSwap
 nexus,NXS, Nexus
 vertcoin,VTC, Vertcoin
 airswap,AST, AirSwap
 prizm,PZM, PRIZM
 vidt-datalink,VIDT, VIDT Datalink
 zkswap,ZKS, ZKSpace
 xeno-token,XNO, Xeno Token
 sifchain,erowan, SifChain
 pallapay,PALLA, Pallapay
 inverse-finance,INV, Inverse Finance
 v-systems,VSYS, v.systems
 receive-access-ecosystem,RAE, Receive Access Ecosystem
 o3-swap,O3, O3 Swap
 star-atlas-polis,POLIS, Star Atlas DAO
 label-foundation,LBL, LABEL Foundation
 stronghold-token,SHX, Stronghold Token
 poa,POA, POA Network
 peardao,PEX, PearDAO
 solanium,SLIM, Solanium
 chain-guardians,CGG, ChainGuardians
 inter-milan-fan-token,INTER, Inter Milan Fan Token
 glitch,GLCH, Glitch
 oneledger,OLT, OneLedger
 sylo,SYLO, Sylo
 birake,BIR, Birake
 galatasaray-fan-token,GAL, Galatasaray Fan Token
 perlin,PERL, PERL.eco
 shyft-network,SHFT, Shyft Network
 new-bitshares,NBS, New BitShares
 gamercoin,GHX, GamerCoin
 library-credits,LBC, LBRY Credits
 peercoin,PPC, Peercoin
 era-swap,ES, Era Swap
 cyclub,CYCLUB, Cyclub
 counterparty,XCP, Counterparty
 zebec-protocol,ZBC, Zebec Protocol
